"","Año","Entidad","Sexo","TOTHOM_INEGI"
"432",2020,"Coahuila","Mujer",32
"433",2020,"Colima","Hombre",481
"434",2020,"Colima","Mujer",84
"435",2020,"Durango","Hombre",122
"436",2020,"Durango","Mujer",16
"437",2020,"Durango","No especificado",1
"438",2020,"Guanajuato","Hombre",4292
"439",2020,"Guanajuato","Mujer",593
"440",2020,"Guanajuato","No especificado",79
"441",2020,"Guerrero","Hombre",1294
"442",2020,"Guerrero","Mujer",145
"443",2020,"Guerrero","No especificado",3
"444",2020,"Hidalgo","Hombre",320
"445",2020,"Hidalgo","Mujer",41
"446",2020,"Jalisco","Hombre",1849
"447",2020,"Jalisco","Mujer",226
"448",2020,"Jalisco","No especificado",7
"449",2020,"México","Hombre",2603
"450",2020,"México","Mujer",423
"451",2020,"México","No especificado",8
"452",2020,"Michoacán","Hombre",2076
"453",2020,"Michoacán","Mujer",240
"454",2020,"Michoacán","No especificado",1
"455",2020,"Morelos","Hombre",895
"456",2020,"Morelos","Mujer",81
"457",2020,"Morelos","No especificado",2
"458",2020,"Nayarit","Hombre",143
"459",2020,"Nayarit","Mujer",21
"460",2020,"Nuevo León","Hombre",812
"461",2020,"Nuevo León","Mujer",90
"462",2020,"Nuevo León","No especificado",3
"463",2020,"Oaxaca","Hombre",736
"464",2020,"Oaxaca","Mujer",106
"465",2020,"Puebla","Hombre",762
"466",2020,"Puebla","Mujer",109
"467",2020,"Querétaro","Hombre",198
"468",2020,"Querétaro","Mujer",25
"469",2020,"Quintana Roo","Hombre",548
"470",2020,"Quintana Roo","Mujer",66
"471",2020,"San Luis Potosí","Hombre",717
"472",2020,"San Luis Potosí","Mujer",59
"473",2020,"San Luis Potosí","No especificado",12
"474",2020,"Sinaloa","Hombre",795
"475",2020,"Sinaloa","Mujer",37
"476",2020,"Sinaloa","No especificado",12
"477",2020,"Sonora","Hombre",1397
"478",2020,"Sonora","Mujer",92
"479",2020,"Sonora","No especificado",35
"480",2020,"Tabasco","Hombre",523
"481",2020,"Tabasco","Mujer",55
"482",2020,"Tamaulipas","Hombre",672
"483",2020,"Tamaulipas","Mujer",71
"484",2020,"Tamaulipas","No especificado",17
"485",2020,"Tlaxcala","Hombre",119
"486",2020,"Tlaxcala","Mujer",27
"487",2020,"Veracruz","Hombre",996
"488",2020,"Veracruz","Mujer",132
"489",2020,"Yucatán","Hombre",60
"490",2020,"Yucatán","Mujer",12
"491",2020,"Zacatecas","Hombre",1016
"492",2020,"Zacatecas","Mujer",108
"493",2020,"Zacatecas","No especificado",10
"494",2020,NA,"Hombre",585
"495",2020,NA,"Mujer",83
"496",2020,NA,"No especificado",13
